system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,20,8.669347154207143,8.058440491543701,0,3.905177179240891,2001,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,18,6.433988818960091,6.022181803244232,0,3.0093541840813054,2001,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,20,9.384665991094385,10.044715989592879,0,3.741980411955709,2001,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,19,9.51204018292756,10.015376522491563,0,3.5424390897993994,2001,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,20,10.075633934220845,11.0603184685512,0,3.7166399010032456,2001,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,23,12.035117815284542,10.018651573139678,0,4.461092866781188,2001,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,22,10.915645709706412,10.033430049144915,0,4.096539567876895,2001,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,18,7.9871774744775434,8.04601919693429,0,3.191900516644297,2001,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,18,7.536701631259401,7.000000000000002,0,3.2832549563463083,2001,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,16,5.200255287290208,5.022996277950324,0,2.611212419702373,2001,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,20,8.970311399792292,8.021991181914233,0,3.4700246041411944,2001,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,20,9.685786766444183,9.026018200775754,0,3.491416383824441,2001,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,19,7.2938567504462775,6.0707176312882005,0,3.390701858541963,2001,
