system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,19,7.522727246138096,7.000000000000004,0,3.1655620926272254,2005,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,17,6.997779430566352,7.000000000000001,0,2.6042021440516216,2005,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,18,6.782498356360752,6.999999999999998,0,2.9422907728519787,2005,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,22,8.780971888943402,8.044633749160266,0,3.470661894018803,2005,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,22,10.063195880441482,10.039729277939086,0,3.601057130097164,2005,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,19,8.633051082276847,8.031690138343953,0,3.015731571158151,2005,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,19,8.812283244193345,8.038406338379747,0,2.9614857720364784,2005,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,17,8.29577789257589,8.023945933566058,0,2.6181871974225976,2005,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,20,8.332956302152434,8.046530033711921,0,2.943699644735664,2005,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,18,6.959987813557734,7.000000000000002,0,2.8004018123069034,2005,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,16,5.370028767595807,5.076199198233149,0,2.468156156259095,2005,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,18,7.6524683331371115,7.000000000000001,0,2.817339691186633,2005,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,17,6.488173617902358,6.052639077702612,0,2.380644377949934,2005,
