system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,20,7.521907755600067,7.000000000000005,0,2.9447250261040243,2007,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,20,8.322412114062823,8.052861994285058,0,3.0260523085884117,2007,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,18,8.484917738633863,9.060509593315842,0,3.100598105335258,2007,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,19,8.725731011071167,9.04799461808784,0,3.1919135099992895,2007,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,19,8.671681644622236,9.026753752236722,0,3.1973371428427844,2007,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,21,8.651889279313737,8.03991737657975,0,3.324115894951358,2007,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,20,8.970599707145318,9.037480759919475,0,3.069961958754067,2007,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,18,7.335524150785217,6.999999999999999,0,2.5413849069643017,2007,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,20,7.484264755371896,7.000000000000005,0,2.6902392132564494,2007,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,20,7.773003280332293,7.000000000000003,0,2.78542923902164,2007,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,17,7.239013513332546,7.000000000000001,0,2.597959564296558,2007,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,18,7.087084540826743,7.0,0,2.704596150409728,2007,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,20,7.060814789065628,6.999999999999999,0,2.97843912551847,2007,
