system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,16,6.336808852761133,6.068014895859647,0,2.5669586250548573,2003,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,15,5.966439715957142,6.029305336499714,0,2.5918568523709786,2003,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,15,5.614697111006919,5.030129557277325,0,2.4851220310911306,2003,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,15,7.483678774599173,8.029393336237895,0,2.5317341943701623,2003,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,16,7.727791096310622,8.026542348494496,0,2.7118155166087528,2003,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,17,7.869835102591484,7.0,0,3.1666470412862333,2003,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,16,8.01665862635802,8.069715330406984,0,2.5801538208703367,2003,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,15,6.071861499581651,6.034610615653036,0,2.3205696027785643,2003,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,16,5.509113302253585,5.063783523465063,0,2.2877042584175196,2003,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,15,7.150465668242394,6.999999999999999,0,2.503702551474265,2003,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,16,5.962191079432735,5.065158050852391,0,2.085312936041037,2003,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,13,4.818373809111334,5.045723024625609,0,2.2103824597584345,2003,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,16,5.306646037836304,5.033132231877998,0,2.339435799215318,2003,
