system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,16,5.632597088680017,5.07553357675429,0,2.5764661703878424,2000,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,15,5.956757678932169,6.0278397138082545,0,2.8166945298553303,2000,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,18,8.04438114021797,8.04325355975448,0,3.684019658861207,2000,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,19,8.908085366034737,9.089588886463556,0,3.529287536583832,2000,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,20,10.172574077657593,10.048928298675053,0,3.8978002367331723,2000,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,21,10.396538084197635,9.019472266726892,0,3.949136373694619,2000,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,21,10.981962428033944,10.024927784727021,0,4.143800491642945,2000,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,16,6.566020386928229,6.030413887701082,0,3.0109136718038485,2000,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,18,6.027814744747447,6.049298307625289,0,2.927803478736781,2000,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,15,6.070978948522918,6.04520185474436,0,2.6014519898532296,2000,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,17,7.551248071606984,7.0,0,3.0957990349341933,2000,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,16,5.683932338107542,5.03902872183317,0,2.56318676870995,2000,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,18,7.805477121665198,7.000000000000001,0,3.200572912375682,2000,
