system:index,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,max,mean,median,min,stdDev,year,.geo
0000b70c08860245e779,50,MI,26,Michigan,East North Central,7.25558E7,18,6.2889511083085825,6.092532058888216,0,2.7298124356681273,2004,
00001de09675e4433d23,8,WI,55,Wisconsin,East North Central,7.09415E7,17,5.606724123751954,5.020037065016036,0,2.5179683331642955,2004,
0000c013263eddb99a68,11,MN,27,Minnesota,West North Central,1.13537E8,18,6.994771117256876,7.000000000000003,0,2.875148768204417,2004,
0000adc8ef848c7e0012,5,ND,38,North Dakota,West North Central,9.90868E7,18,7.1965781909557816,7.0000000000000036,0,2.585071756545594,2004,
000019d62ac5c6f8eaa0,6,SD,46,South Dakota,West North Central,9.694E7,21,8.048592583751194,8.032954741844586,0,3.197253974493202,2004,
00003be65b10ac1113ad,34,KS,20,Kansas,West North Central,8.60122E7,18,7.9253431236335645,7.000000000000003,0,2.8304710536790934,2004,
0000d4ebf2622802cfbc,16,NE,31,Nebraska,West North Central,8.83966E7,21,7.8148912592678075,7.0000000000000036,0,3.1497174759309843,2004,
0000c5b52afcd493211f,14,IA,19,Iowa,West North Central,6.54198E7,17,7.311418226925138,7.000000000000002,0,2.490068425225159,2004,
00002e9462723431f9f4,36,MO,29,Missouri,West North Central,7.28638E7,16,5.678795187952701,5.047013952746915,0,2.4173243052806797,2004,
0000ac7b5ba10088ae2b,27,IL,17,Illinois,East North Central,6.16458E7,16,5.528639522490966,5.058295880562297,0,2.376558730986794,2004,
0000ba5c7718496f6eb8,22,IN,18,Indiana,East North Central,3.96681E7,15,4.633512686344376,4.05928295204725,0,2.177955848446574,2004,
00007005eb9cf6f19eba,26,OH,39,Ohio,East North Central,4.5374E7,16,5.097552329262464,5.018799619333405,0,2.181137333931016,2004,
00009c6d3d6308c6bc8b,33,KY,21,Kentucky,East South Central,4.11078E7,16,4.944009616776982,5.056506476469911,0,2.105511287445524,2004,
