uniqueID,gridID,state,fips5,year,cropland,GCVI_constant,GCVI_cos,GCVI_sin,GCVI_cos2,GCVI_sin2,NIR_constant,NIR_cos,NIR_sin,NIR_cos2,NIR_sin2,SWIR1_constant,SWIR1_cos,SWIR1_sin,SWIR1_cos2,SWIR1_sin2,SWIR2_constant,SWIR2_cos,SWIR2_sin,SWIR2_cos2,SWIR2_sin2,CDL
0195_043,195.0,MI,26007,2018,24,1.7998790740966797,0.451687753200531,-0.8228878974914551,-0.673584520816803,1.366091012954712,0.2343191057443619,0.007251646369695663,-0.06379853934049606,-0.025937404483556747,0.0765598714351654,0.2601254880428314,0.011446558870375156,-0.004847542382776736,0.0388367585837841,-0.01692902483046055,0.1812260150909424,-0.007300784811377525,0.0022669166792184114,0.03728064522147178,-0.02735920250415802,0
0195_015,195.0,MI,26007,2018,5,2.035074234008789,1.3874874114990234,-0.2839334011077881,0.6115521192550659,-0.15265117585659027,0.3228226900100708,0.06992349773645401,-0.05807237699627876,0.02142725326120853,-0.004391339607536793,0.3191801607608795,-0.05184118822216988,-0.026629628613591198,-0.01605033501982689,0.0083431052044034,0.2259146869182587,-0.06766477972269057,-0.02390304021537304,-0.025352304801344868,0.005741810891777277,5
0195_179,195.0,MI,26007,2018,36,2.521700620651245,1.1392370462417605,-0.4692095816135407,-0.21310696005821228,1.3386653661727903,0.3276318609714508,0.028308782726526264,-0.05204298347234726,-0.007809681352227926,0.0716223195195198,0.264761358499527,-0.03379600867629051,-0.009901108220219612,0.0035826317034661774,-0.03435569256544113,0.1578565537929535,-0.03893166035413742,0.003362338757142425,0.005937198642641306,-0.04105457663536072,0
0195_060,195.0,MI,26007,2018,36,4.031028747558594,3.211384057998657,-1.1213487386703491,-0.12468547374010085,3.7030646800994873,0.344631552696228,0.09728992730379103,-0.07604680955410004,0.0024915144313126802,0.11891354620456696,0.2426386922597885,-0.001364901545457542,-0.025061877444386482,0.016978127881884575,-0.06858663260936737,0.13761006295681,-0.02684519998729229,-0.006149371154606342,0.011382975615561008,-0.07116425037384032,0
0195_170,195.0,MI,26007,2018,24,1.6552605628967283,0.8603124022483826,-0.573015034198761,-0.24627743661403656,0.8873741626739502,0.2636007070541382,0.02440053410828114,-0.047336377203464515,-0.018235469236969948,0.04207799583673477,0.25811854004859924,-0.03297282382845878,0.002619703998789191,0.00903615728020668,-0.029157163575291637,0.18408411741256714,-0.05039364472031593,0.014008905738592148,0.012496933341026306,-0.04045822471380234,0
0195_034,195.0,MI,26007,2018,5,3.7900643348693848,1.119489669799805,0.013851296156644821,-0.2780976891517639,0.4977328181266785,0.2896725237369537,0.07054897397756578,-0.04555564746260643,-0.0072247995994985095,0.03302076831459999,0.1895962804555893,-0.003120802110061049,-0.04462571069598198,0.006393439136445522,0.007751104421913624,0.102795772254467,-0.02086313813924789,-0.02148415148258209,0.0015376379014924169,-0.0012540852185338733,5
0195_106,195.0,MI,26007,2018,42,1.5198214054107666,0.4768688082695007,-0.4301845729351044,-0.15499024093151093,0.10788943618535997,0.24499158561229706,0.04299667850136757,-0.07005097717046738,-0.011639844626188278,0.016773497685790062,0.28129249811172485,0.00938650406897068,-0.03666006401181221,0.012841475196182728,0.009383821859955788,0.21493466198444366,-0.0038342543411999937,-0.017853429540991783,0.013079653494060041,0.0014922561822459102,0
0195_186,195.0,MI,26007,2018,1,2.7427053451538086,1.808444023132324,-0.6518783569335938,0.3862936198711395,-0.701398491859436,0.2846483588218689,0.030755508691072464,-0.03740285709500313,0.017437107861042026,-0.013024413958191872,0.2687219381332397,-0.11606200784444808,-0.0054490817710757256,-0.0029085781425237656,0.015114402398467062,0.18044018745422366,-0.11454804986715315,-0.007953348569571972,-0.012417128309607506,0.03184447810053825,1
0195_218,195.0,MI,26007,2018,36,2.5976083278656006,0.6819403171539307,-0.461528480052948,-0.5126199126243591,1.0703197717666626,0.2662458121776581,0.0036228231620043525,-0.00749928317964077,0.0019459339091554284,0.01622171327471733,0.2371809333562851,-0.012537479400634766,-0.0006897913408465682,0.034946732223033905,-0.04065042734146118,0.1417040228843689,-0.028899034485220913,0.008406979963183403,0.027021771296858788,-0.05025622248649597,0
0195_163,195.0,MI,26007,2018,5,4.6500887870788565,4.684453964233398,-2.928295612335205,1.1422399282455444,1.9654999971389768,0.29741263389587397,0.049368806183338165,-0.19033637642860413,-0.006531130988150835,0.0354141965508461,0.2244420349597931,0.01972725056111813,-0.026793977245688442,0.033045414835214615,0.0009906358318403363,0.10955165326595306,-0.06047024950385094,0.014820258133113384,-0.010945644229650496,-0.03093848749995232,5
0195_036,195.0,MI,26007,2018,5,1.9569349288940432,1.6796051263809204,-0.06769593060016632,0.7897547483444214,0.5680407285690308,0.2596440315246582,0.03282609581947327,-0.056577209383249276,0.014471542090177538,-0.01332229282706976,0.2700285315513611,-0.049216154962778084,-0.07782187312841415,-0.036761485040187836,-0.011160345748066902,0.19035303592681885,-0.06535664200782776,-0.07482516020536423,-0.047848433256149285,-0.008956390433013441,5
0195_159,195.0,MI,26007,2018,5,2.414207220077514,1.2792354822158811,-0.5726668238639832,0.5756065249443054,0.8729028105735779,0.2893002927303314,0.06606007367372513,-0.024992603808641437,0.04426324740052223,0.049752473831176765,0.261664479970932,-0.02857837453484535,0.003915627021342516,-0.00899416022002697,-0.003244174411520362,0.16143983602523804,-0.04604553058743477,0.009881963953375816,-0.017682651057839394,-0.014718190766870975,5
0195_249,195.0,MI,26007,2018,5,1.1440482139587402,0.07971687614917755,0.1760154813528061,0.039637193083763116,0.1648513227701187,0.20084300637245175,0.012456357479095459,-0.030909817665815357,-0.00545901944860816,-0.002726731589064002,0.2505066394805908,0.00660426914691925,-0.07332627475261687,-0.011672737076878548,-0.004359424579888582,0.2032782882452011,0.009626193903386593,-0.08273027092218399,-0.018273420631885532,-0.015273933298885822,5
0195_232,195.0,MI,26001,2018,36,2.070366621017456,-0.3601100146770477,-1.0626977682113647,-0.5498479604721069,0.987285614013672,0.2913156747817993,-0.016683170571923256,0.0013653838541358712,0.01666502095758915,0.01682623103260994,0.2895884215831757,0.02587934397161007,0.01621546596288681,0.04844927042722702,-0.037868231534957886,0.20497749745845795,0.05086753144860268,0.02622446604073048,0.0567934475839138,-0.035656385123729706,0
0195_212,195.0,MI,26007,2018,37,2.84740686416626,1.5194696187973022,-0.32825323939323425,0.5698614716529846,1.1856566667556765,0.3115835785865784,0.005107405595481396,0.0022657958324998613,0.013488296419382095,0.03151533752679825,0.3192689418792725,-0.06944215297698975,0.016838595271110538,-0.015535074286162853,-0.07584460824728012,0.1911444216966629,-0.07093410193920135,0.023339584469795227,-0.02011458016932011,-0.07504812628030777,0
