system:index,1,255,5,9,DRAWSEQ,STATE_ABBR,STATE_FIPS,STATE_NAME,SUB_REGION,area,groups,year,.geo
0000b70c08860245e779,3.2338788105882354E9,3581177.6470588236,5.076765278823528E9,4.0522785705882344E9,50,MI,26,Michigan,East North Central,7.25558E7,"[{group=1, sum=3.2338788105882354E9}, {group=5, sum=5.076765278823528E9}, {group=9, sum=4.0522785705882344E9}, {group=255, sum=3581177.6470588236}]",2005,
00001de09675e4433d23,8.95330652117647E9,824400.0,4.359626025882353E9,4.883616504705881E9,8,WI,55,Wisconsin,East North Central,7.09415E7,"[{group=1, sum=8.95330652117647E9}, {group=5, sum=4.359626025882353E9}, {group=9, sum=4.883616504705881E9}, {group=255, sum=824400.0}]",2005,
0000c013263eddb99a68,6.850457068235295E9,165600.0,2.1058262484705883E10,2.256654455294117E9,11,MN,27,Minnesota,West North Central,1.13537E8,"[{group=1, sum=6.850457068235295E9}, {group=5, sum=2.1058262484705883E10}, {group=9, sum=2.256654455294117E9}, {group=255, sum=165600.0}]",2005,
0000adc8ef848c7e0012,5.834873011764708E8,181800.0,2.747201167058823E9,1.8456584894117649E9,5,ND,38,North Dakota,West North Central,9.90868E7,"[{group=1, sum=5.834873011764708E8}, {group=5, sum=2.747201167058823E9}, {group=9, sum=1.8456584894117649E9}, {group=255, sum=181800.0}]",2005,
000019d62ac5c6f8eaa0,3.7131980647058816E9,36900.0,9.36519942E9,4.993001368235294E9,6,SD,46,South Dakota,West North Central,9.694E7,"[{group=1, sum=3.7131980647058816E9}, {group=5, sum=9.36519942E9}, {group=9, sum=4.993001368235294E9}, {group=255, sum=36900.0}]",2005,
00003be65b10ac1113ad,4.5383171823529415E9,112500.0,4.309999171764704E9,5.8204560776470585E9,34,KS,20,Kansas,West North Central,8.60122E7,"[{group=1, sum=4.5383171823529415E9}, {group=5, sum=4.309999171764704E9}, {group=9, sum=5.8204560776470585E9}, {group=255, sum=112500.0}]",2005,
0000d4ebf2622802cfbc,1.899846026470588E10,294300.0,1.5089200411764708E10,4.2253163929411774E9,16,NE,31,Nebraska,West North Central,8.83966E7,"[{group=1, sum=1.899846026470588E10}, {group=5, sum=1.5089200411764708E10}, {group=9, sum=4.2253163929411774E9}, {group=255, sum=294300.0}]",2005,
0000c5b52afcd493211f,1.8254990992941177E10,777600.0,3.721956586235293E10,7.770018988235295E8,14,IA,19,Iowa,West North Central,6.54198E7,"[{group=1, sum=1.8254990992941177E10}, {group=5, sum=3.721956586235293E10}, {group=9, sum=7.770018988235295E8}, {group=255, sum=777600.0}]",2005,
00002e9462723431f9f4,3.1455766129411755E9,156600.0,9.352428582352942E9,1.6160039858823528E9,36,MO,29,Missouri,West North Central,7.28638E7,"[{group=1, sum=3.1455766129411755E9}, {group=5, sum=9.352428582352942E9}, {group=9, sum=1.6160039858823528E9}, {group=255, sum=156600.0}]",2005,
0000ac7b5ba10088ae2b,2.5206851897647057E10,1521000.0,2.813109314117647E10,2.3722669976470585E9,27,IL,17,Illinois,East North Central,6.16458E7,"[{group=1, sum=2.5206851897647057E10}, {group=5, sum=2.813109314117647E10}, {group=9, sum=2.3722669976470585E9}, {group=255, sum=1521000.0}]",2005,
0000ba5c7718496f6eb8,1.2350235292941181E10,2213922.3529411764,1.3858450620000002E10,1.812917848235294E9,22,IN,18,Indiana,East North Central,3.96681E7,"[{group=1, sum=1.2350235292941181E10}, {group=5, sum=1.3858450620000002E10}, {group=9, sum=1.812917848235294E9}, {group=255, sum=2213922.3529411764}]",2005,
00007005eb9cf6f19eba,3.8118880870588236E9,1.18575E7,8.22092658352941E9,2.680026557647059E9,26,OH,39,Ohio,East North Central,4.5374E7,"[{group=1, sum=3.8118880870588236E9}, {group=5, sum=8.22092658352941E9}, {group=9, sum=2.680026557647059E9}, {group=255, sum=1.18575E7}]",2005,
00009c6d3d6308c6bc8b,1.0201825870588233E9,195300.0,1.8821312223529406E9,1.6584855070588233E9,33,KY,21,Kentucky,East South Central,4.11078E7,"[{group=1, sum=1.0201825870588233E9}, {group=5, sum=1.8821312223529406E9}, {group=9, sum=1.6584855070588233E9}, {group=255, sum=195300.0}]",2005,
